DEBUG    asyncio:selector_events.py:54 Using selector: EpollSelector
INFO     root:base_page.py:19 Opening the url "AppRoute.REGISTRATION"
INFO     root:base_element.py:24 Getting locator with "data-testid=registration-form-email-input" at index "0"
INFO     root:input.py:23 Fill input "Email" to value "user.name@gmail.com"
INFO     root:base_element.py:24 Getting locator with "data-testid=registration-form-email-input" at index "0"
INFO     root:input.py:31 Checking that input "Email" has a value user.name@gmail.com"
INFO     root:base_element.py:24 Getting locator with "data-testid=registration-form-username-input" at index "0"
INFO     root:input.py:23 Fill input "Username" to value "username"
INFO     root:base_element.py:24 Getting locator with "data-testid=registration-form-username-input" at index "0"
INFO     root:input.py:31 Checking that input "Username" has a value username"
INFO     root:base_element.py:24 Getting locator with "data-testid=registration-form-password-input" at index "0"
INFO     root:input.py:23 Fill input "Password" to value "password"
INFO     root:base_element.py:24 Getting locator with "data-testid=registration-form-password-input" at index "0"
INFO     root:input.py:31 Checking that input "Password" has a value password"
INFO     root:base_element.py:24 Getting locator with "data-testid=registration-page-registration-button" at index "0"
INFO     root:base_element.py:32 Clicking button "Registration"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Dashboard Toolbar is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Dashboard Toolbar has text "Dashboard"
INFO     root:base_element.py:24 Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text " App Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text " App Title has text "UI Course"
INFO     root:base_element.py:24 Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Welcome Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Welcome Title has text "Welcome, username!"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
INFO     root:base_element.py:40 Checking that icon "Sidebar Icon is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Sidebar Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Sidebar Title has text "Logout"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
INFO     root:base_element.py:40 Checking that button "Sidebar Button is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
INFO     root:base_element.py:40 Checking that icon "Sidebar Icon is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Sidebar Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Sidebar Title has text "Courses"
INFO     root:base_element.py:24 Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
INFO     root:base_element.py:40 Checking that button "Sidebar Button is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
INFO     root:base_element.py:40 Checking that icon "Sidebar Icon is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Sidebar Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Sidebar Title has text "Dashboard"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
INFO     root:base_element.py:40 Checking that button "Sidebar Button is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
INFO     root:base_element.py:32 Clicking button "Sidebar Button"
INFO     root:base_component.py:19 Checking that current url matches pattern ".*/#/auth/login"
INFO     root:base_element.py:24 Getting locator with "data-testid=login-form-email-input" at index "0"
INFO     root:input.py:23 Fill input "Email" to value "user.name@gmail.com"
INFO     root:base_element.py:24 Getting locator with "data-testid=login-form-email-input" at index "0"
INFO     root:input.py:31 Checking that input "Email" has a value user.name@gmail.com"
INFO     root:base_element.py:24 Getting locator with "data-testid=login-form-password-input" at index "0"
INFO     root:input.py:23 Fill input "Password" to value "password"
INFO     root:base_element.py:24 Getting locator with "data-testid=login-form-password-input" at index "0"
INFO     root:input.py:31 Checking that input "Password" has a value password"
INFO     root:base_element.py:24 Getting locator with "data-testid=login-page-login-button" at index "0"
INFO     root:base_element.py:32 Clicking button "Login"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Dashboard Toolbar is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Dashboard Toolbar has text "Dashboard"
INFO     root:base_element.py:24 Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text " App Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text " App Title has text "UI Course"
INFO     root:base_element.py:24 Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Welcome Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Welcome Title has text "Welcome, username!"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
INFO     root:base_element.py:40 Checking that icon "Sidebar Icon is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Sidebar Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Sidebar Title has text "Logout"
INFO     root:base_element.py:24 Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
INFO     root:base_element.py:40 Checking that button "Sidebar Button is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
INFO     root:base_element.py:40 Checking that icon "Sidebar Icon is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Sidebar Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Sidebar Title has text "Courses"
INFO     root:base_element.py:24 Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
INFO     root:base_element.py:40 Checking that button "Sidebar Button is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
INFO     root:base_element.py:40 Checking that icon "Sidebar Icon is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:40 Checking that text "Sidebar Title is visible"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
INFO     root:base_element.py:48 Checking that text "Sidebar Title has text "Dashboard"
INFO     root:base_element.py:24 Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
INFO     root:base_element.py:40 Checking that button "Sidebar Button is visible"
